Date,FIPS,County,State,Vaccination_Complete_Pct,candidate,party,total_votes,won,lat,long
09/30/2021,20061,Geary County,KS,55.6,Donald Trump,REP,5193,True,39.00241626170008,-96.7525303867292
09/30/2021,20061,Geary County,KS,55.6,Joe Biden,DEM,3825,False,39.00241626170008,-96.7525303867292
09/30/2021,31123,Morrill County,NE,30.6,Donald Trump,REP,2113,True,41.71601483918396,-103.0106143450342
09/30/2021,31123,Morrill County,NE,30.6,Joe Biden,DEM,386,False,41.71601483918396,-103.0106143450342
09/30/2021,29117,Livingston County,MO,38.6,Donald Trump,REP,5267,True,39.78211352584426,-93.54825544671932
09/30/2021,29117,Livingston County,MO,38.6,Joe Biden,DEM,1410,False,39.78211352584426,-93.54825544671932
09/30/2021,51057,Essex County,VA,44.0,Donald Trump,REP,3075,True,37.94340644854229,-76.95144012936174
09/30/2021,51057,Essex County,VA,44.0,Joe Biden,DEM,3038,False,37.94340644854229,-76.95144012936174
09/30/2021,55055,Jefferson County,WI,50.1,Donald Trump,REP,27208,True,43.02082846610267,-88.77588315426726
09/30/2021,55055,Jefferson County,WI,50.1,Joe Biden,DEM,19904,False,43.02082846610267,-88.77588315426726
09/30/2021,27137,St. Louis County,MN,57.3,Joe Biden,DEM,67704,True,47.60315653765749,-92.47063162489904
09/30/2021,27137,St. Louis County,MN,57.3,Donald Trump,REP,49017,False,47.60315653765749,-92.47063162489904
09/30/2021,17193,White County,IL,40.3,Donald Trump,REP,5791,True,38.08747726000744,-88.1795551880565
09/30/2021,17193,White County,IL,40.3,Joe Biden,DEM,1517,False,38.08747726000744,-88.1795551880565
09/30/2021,32011,Eureka County,NV,22.9,Donald Trump,REP,895,True,39.98386155263351,-116.26858451880447
09/30/2021,32011,Eureka County,NV,22.9,Joe Biden,DEM,105,False,39.98386155263351,-116.26858451880447
09/30/2021,35051,Sierra County,NM,46.7,Donald Trump,REP,3542,True,33.130495866748255,-107.19240696242152
09/30/2021,35051,Sierra County,NM,46.7,Joe Biden,DEM,2265,False,33.130495866748255,-107.19240696242152
09/30/2021,31065,Furnas County,NE,38.1,Donald Trump,REP,2163,True,40.17644373250202,-99.91230950063614
09/30/2021,31065,Furnas County,NE,38.1,Joe Biden,DEM,399,False,40.17644373250202,-99.91230950063614
09/30/2021,5081,Little River County,AR,26.1,Donald Trump,REP,3715,True,33.700511447751154,-94.23434658306978
09/30/2021,5081,Little River County,AR,26.1,Joe Biden,DEM,1226,False,33.700511447751154,-94.23434658306978
09/30/2021,40053,Grant County,OK,36.7,Donald Trump,REP,1916,True,36.79613980524573,-97.78613156087904
09/30/2021,40053,Grant County,OK,36.7,Joe Biden,DEM,280,False,36.79613980524573,-97.78613156087904
09/30/2021,35017,Grant County,NM,53.9,Joe Biden,DEM,7590,True,32.73887360838214,-108.38240247886898
09/30/2021,35017,Grant County,NM,53.9,Donald Trump,REP,6553,False,32.73887360838214,-108.38240247886898
09/30/2021,36009,Cattaraugus County,NY,47.9,Donald Trump,REP,22155,True,42.24860036195381,-78.67884765289531
09/30/2021,36009,Cattaraugus County,NY,47.9,Joe Biden,DEM,11879,False,42.24860036195381,-78.67884765289531
09/30/2021,40009,Beckham County,OK,35.8,Donald Trump,REP,6767,True,35.26872726378447,-99.68190502013334
09/30/2021,40009,Beckham County,OK,35.8,Joe Biden,DEM,1048,False,35.26872726378447,-99.68190502013334
09/30/2021,13141,Hancock County,GA,11.9,Joe Biden,DEM,2976,True,33.27045137148866,-83.00067258771404
09/30/2021,13141,Hancock County,GA,11.9,Donald Trump,REP,1154,False,33.27045137148866,-83.00067258771404
