Date,fips,covid_vaccine_rate
10/03/2021,48043,0.0
10/03/2021,54029,22.7
10/03/2021,08107,67.2
10/03/2021,18061,45.6
10/03/2021,01069,36.6
10/03/2021,41033,44.9
10/03/2021,51047,42.8
10/03/2021,20081,32.3
10/03/2021,40137,40.9
10/03/2021,35009,32.4
10/03/2021,46091,43.6
10/03/2021,04027,56.6
10/03/2021,12065,53.1
10/03/2021,47027,25.0
10/03/2021,31025,51.7
10/03/2021,19089,46.4
10/03/2021,16015,27.4
10/03/2021,21101,43.8
10/03/2021,21143,52.6
10/03/2021,05039,50.2
10/03/2021,53073,63.0
10/03/2021,40119,41.8
10/03/2021,40037,37.2
10/03/2021,22019,36.0
10/03/2021,12045,44.5
10/03/2021,72003,63.6
10/03/2021,18083,44.9
10/03/2021,72041,66.7
10/03/2021,51700,46.2
10/03/2021,06019,49.8
10/03/2021,20033,41.5
10/03/2021,01043,33.6
10/03/2021,26137,49.3
10/03/2021,27163,58.7
10/03/2021,50007,63.1
10/03/2021,48051,0.0
10/03/2021,48395,0.0
10/03/2021,55057,46.2
10/03/2021,48447,0.0
10/03/2021,54041,29.5
10/03/2021,34041,58.8
10/03/2021,51690,39.0
10/03/2021,01131,45.0
10/03/2021,32031,56.2
10/03/2021,47041,34.5
10/03/2021,31053,46.1
10/03/2021,28061,42.0
10/03/2021,48205,0.0
10/03/2021,31069,40.3
10/03/2021,40057,42.0
10/03/2021,13143,13.5
10/03/2021,30043,43.3
10/03/2021,42109,40.8
10/03/2021,01015,39.5
10/03/2021,17087,32.9
10/03/2021,47079,40.8
10/03/2021,21229,47.5
10/03/2021,39159,53.5
10/03/2021,13175,22.8
10/03/2021,06079,51.9
10/03/2021,01067,38.4
10/03/2021,19139,52.8
10/03/2021,19193,48.5
10/03/2021,56015,33.4
10/03/2021,56039,79.1
10/03/2021,27161,49.8
10/03/2021,54011,21.7
10/03/2021,39135,37.4
10/03/2021,41027,73.5
10/03/2021,48425,0.0
10/03/2021,48337,0.0
10/03/2021,37083,44.4
10/03/2021,29031,42.1
10/03/2021,48157,0.0
10/03/2021,51031,37.5
10/03/2021,56011,24.3
10/03/2021,27039,50.7
10/03/2021,37055,65.0
10/03/2021,04007,51.0
10/03/2021,39045,49.4
10/03/2021,05021,40.3
10/03/2021,37049,49.8
10/03/2021,21209,56.9
10/03/2021,01083,31.6
10/03/2021,02195,65.5
10/03/2021,19197,51.1
10/03/2021,27097,40.9
10/03/2021,29149,27.2
10/03/2021,05067,33.2
10/03/2021,17069,35.3
10/03/2021,21167,51.2
10/03/2021,27173,49.1
10/03/2021,46003,41.6
10/03/2021,48401,0.0
10/03/2021,42133,53.1
10/03/2021,26165,42.8
10/03/2021,26159,48.2
10/03/2021,42033,45.1
10/03/2021,12051,40.4
10/03/2021,38037,18.3
10/03/2021,37161,34.4
10/03/2021,13255,14.5
10/03/2021,48177,0.0
10/03/2021,42085,49.7
10/03/2021,55051,51.7
10/03/2021,29155,24.1
10/03/2021,05013,31.5
10/03/2021,21125,36.2
10/03/2021,13263,27.0
10/03/2021,15009,0.0
10/03/2021,08015,56.8
10/03/2021,51103,56.5
10/03/2021,31183,26.8
10/03/2021,28131,38.2
10/03/2021,13079,16.8
10/03/2021,02158,56.9
10/03/2021,46073,38.5
10/03/2021,51053,43.1
10/03/2021,37051,53.9
10/03/2021,18079,35.7
10/03/2021,31097,48.2
10/03/2021,47053,38.0
10/03/2021,40131,39.9
10/03/2021,22113,32.7
10/03/2021,06049,0.0
10/03/2021,27155,53.5
10/03/2021,29049,41.1
10/03/2021,30073,46.3
10/03/2021,36053,54.4
10/03/2021,37013,46.9
10/03/2021,26013,51.3
10/03/2021,01115,33.6
10/03/2021,09009,67.6
10/03/2021,35013,53.6
10/03/2021,54069,12.4
10/03/2021,48187,0.0
10/03/2021,48089,0.0
10/03/2021,13023,10.3
10/03/2021,39049,55.3
10/03/2021,40079,33.9
10/03/2021,13195,21.0
10/03/2021,17059,44.6
10/03/2021,39039,43.4
10/03/2021,22121,46.8
10/03/2021,31041,33.4
10/03/2021,45057,36.9
10/03/2021,13075,34.0
10/03/2021,22093,44.0
10/03/2021,20041,46.2
10/03/2021,17141,46.3
10/03/2021,20107,31.2
10/03/2021,29019,54.1
10/03/2021,38105,24.8
10/03/2021,37185,33.0
10/03/2021,17007,47.4
10/03/2021,33019,55.9
10/03/2021,21085,43.5
10/03/2021,20011,32.5
10/03/2021,21077,38.1
10/03/2021,48357,0.0
10/03/2021,25007,3.6
10/03/2021,28029,46.1
10/03/2021,21141,45.8
10/03/2021,12041,31.8
10/03/2021,20097,44.3
10/03/2021,06099,46.6
10/03/2021,37165,39.3
10/03/2021,72085,62.4
10/03/2021,51069,43.4
10/03/2021,46117,51.6
10/03/2021,22049,36.2
10/03/2021,22069,36.5
10/03/2021,29027,41.5
10/03/2021,19033,56.1
10/03/2021,39001,29.5
10/03/2021,47159,27.8
10/03/2021,22067,38.6
10/03/2021,28059,38.3
10/03/2021,31065,38.2
10/03/2021,72127,64.5
10/03/2021,39133,50.2
10/03/2021,54097,8.3
10/03/2021,19121,47.8
10/03/2021,09011,69.6
10/03/2021,35047,44.8
10/03/2021,08043,37.2
10/03/2021,54109,35.6
10/03/2021,40005,30.3
10/03/2021,16027,34.7
10/03/2021,55091,44.4
10/03/2021,06091,0.0
10/03/2021,35055,61.0
10/03/2021,06103,34.1
10/03/2021,19075,55.1
10/03/2021,12063,36.2
10/03/2021,46095,29.3
10/03/2021,55065,53.4
10/03/2021,48241,0.0
10/03/2021,36073,47.9
10/03/2021,51685,41.5
10/03/2021,08089,41.1
10/03/2021,72019,63.0
10/03/2021,20065,66.0
10/03/2021,54023,13.4
10/03/2021,27017,54.9
10/03/2021,32027,31.6
10/03/2021,21153,43.3
10/03/2021,25001,5.0
10/03/2021,17029,37.7
10/03/2021,39009,44.9
10/03/2021,22091,26.8
10/03/2021,42125,56.6
10/03/2021,47189,44.9
10/03/2021,21065,44.0
10/03/2021,48301,0.0
10/03/2021,16031,29.0
10/03/2021,12079,37.4
10/03/2021,28147,34.6
10/03/2021,01061,32.9
10/03/2021,46063,15.1
10/03/2021,13293,34.4
10/03/2021,51139,34.9
10/03/2021,05095,47.8
10/03/2021,16041,34.1
10/03/2021,08045,54.8
10/03/2021,35053,53.2
10/03/2021,32001,40.9
10/03/2021,17027,45.8
10/03/2021,02230,66.3
10/03/2021,48411,0.0
10/03/2021,50025,58.6
10/03/2021,32009,35.4
10/03/2021,46123,30.7
10/03/2021,01071,41.2
10/03/2021,05037,44.6
10/03/2021,39037,34.1
10/03/2021,36013,50.9
10/03/2021,19057,44.9
10/03/2021,41049,46.3
10/03/2021,24039,43.5
10/03/2021,49045,46.0
10/03/2021,53003,35.9
10/03/2021,28139,36.3
10/03/2021,13123,12.4
10/03/2021,19149,46.4
10/03/2021,48149,0.0
10/03/2021,05137,32.7
10/03/2021,40075,45.3
10/03/2021,38003,50.7
10/03/2021,46107,45.7
10/03/2021,48377,0.0
10/03/2021,40091,48.3
10/03/2021,72077,63.4
10/03/2021,51107,62.1
10/03/2021,45085,41.4
10/03/2021,51193,43.0
10/03/2021,48293,0.0
10/03/2021,41061,42.4
10/03/2021,29033,44.0
10/03/2021,08061,33.1
10/03/2021,30105,38.8
10/03/2021,22105,39.7
10/03/2021,46047,44.1
10/03/2021,48247,0.0
10/03/2021,01027,36.2
10/03/2021,05125,42.8
10/03/2021,17065,32.6
10/03/2021,56037,36.5
10/03/2021,20095,41.8
10/03/2021,20163,42.8
10/03/2021,48479,0.0
10/03/2021,37167,22.7
10/03/2021,50017,45.5
10/03/2021,17139,35.9
10/03/2021,05063,34.7
10/03/2021,45047,42.5
10/03/2021,29131,29.3
10/03/2021,31047,39.5
10/03/2021,17081,35.1
10/03/2021,72115,70.8
10/03/2021,51133,51.4
10/03/2021,51097,45.1
10/03/2021,29091,28.4
10/03/2021,17189,47.4
10/03/2021,48093,0.0
10/03/2021,17025,32.2
10/03/2021,48237,0.0
10/03/2021,38011,33.5
10/03/2021,17193,40.6
10/03/2021,29217,30.8
10/03/2021,13147,25.6
10/03/2021,40065,43.6
10/03/2021,37149,39.2
10/03/2021,47175,48.8
10/03/2021,19055,47.9
10/03/2021,37039,45.6
10/03/2021,27165,49.2
10/03/2021,37053,44.4
10/03/2021,17085,66.9
10/03/2021,54081,21.3
10/03/2021,23023,68.5
10/03/2021,06045,58.3
10/03/2021,25003,49.6
10/03/2021,72033,62.2
10/03/2021,29181,25.1
10/03/2021,51029,37.2
10/03/2021,17145,36.0
10/03/2021,21191,40.7
10/03/2021,06007,45.7
10/03/2021,40085,34.9
10/03/2021,21033,44.6
10/03/2021,13105,18.0
10/03/2021,13305,28.6
10/03/2021,19003,48.1
10/03/2021,56013,50.6
10/03/2021,05077,28.7
10/03/2021,01097,41.6
10/03/2021,36085,59.7
10/03/2021,38047,29.9
10/03/2021,41017,60.8
10/03/2021,42057,29.4
10/03/2021,22101,38.8
10/03/2021,37009,44.4
10/03/2021,19113,58.5
10/03/2021,27119,34.9
10/03/2021,37011,46.2
10/03/2021,31037,39.2
10/03/2021,13157,23.2
10/03/2021,13309,9.6
10/03/2021,01129,40.7
10/03/2021,48033,0.0
10/03/2021,06031,36.4
10/03/2021,18007,37.9
10/03/2021,38059,36.9
10/03/2021,41063,52.4
10/03/2021,48461,0.0
10/03/2021,21089,43.3
10/03/2021,08055,47.7
10/03/2021,22117,36.0
10/03/2021,18043,51.4
10/03/2021,48433,0.0
10/03/2021,12093,40.4
10/03/2021,17175,45.5
10/03/2021,40003,40.4
10/03/2021,22043,36.8
10/03/2021,36019,64.2
10/03/2021,27005,47.0
10/03/2021,22079,42.3
10/03/2021,51021,34.6
10/03/2021,27051,48.5
10/03/2021,29147,43.3
10/03/2021,47121,58.7
10/03/2021,55093,39.0
10/03/2021,20153,37.5
10/03/2021,17173,34.4
10/03/2021,42053,67.6
10/03/2021,39145,42.4
10/03/2021,48005,0.0
10/03/2021,46089,10.4
10/03/2021,53011,55.5
10/03/2021,08087,39.4
10/03/2021,20089,40.9
10/03/2021,13243,16.1
10/03/2021,27157,62.7
10/03/2021,48451,0.0
10/03/2021,24035,58.9
10/03/2021,38091,41.2
10/03/2021,53047,59.8
10/03/2021,26143,48.8
10/03/2021,49053,42.2
10/03/2021,29025,34.1
10/03/2021,20201,46.2
10/03/2021,26073,38.0
10/03/2021,20119,34.0
10/03/2021,18047,32.4
10/03/2021,21093,55.2
10/03/2021,30039,32.8
10/03/2021,13307,17.9
10/03/2021,29061,28.1
10/03/2021,38071,50.1
10/03/2021,51117,39.9
10/03/2021,26095,39.4
10/03/2021,46013,47.7
10/03/2021,72057,62.1
10/03/2021,08101,47.8
10/03/2021,12133,27.7
10/03/2021,27085,48.4
10/03/2021,53005,47.0
10/03/2021,41031,53.7
10/03/2021,13237,12.1
10/03/2021,48047,0.0
10/03/2021,48039,0.0
10/03/2021,27079,41.5
10/03/2021,21149,44.8
10/03/2021,21137,37.0
10/03/2021,31119,39.6
10/03/2021,72123,66.5
10/03/2021,13029,31.7
10/03/2021,53039,43.0
10/03/2021,55095,45.0
10/03/2021,19129,48.4
10/03/2021,08001,57.3
10/03/2021,13077,25.8
10/03/2021,29069,31.3
10/03/2021,31113,17.8
10/03/2021,45069,36.9
10/03/2021,45001,34.9
10/03/2021,18155,27.7
10/03/2021,46061,31.4
10/03/2021,47111,26.4
10/03/2021,06053,58.4
10/03/2021,48331,0.0
10/03/2021,21159,45.4
10/03/2021,48017,0.0
10/03/2021,47173,29.7
10/03/2021,37007,26.2
10/03/2021,17079,31.3
10/03/2021,39043,52.7
10/03/2021,47003,34.4
10/03/2021,13033,38.8
10/03/2021,18015,30.5
10/03/2021,26119,46.8
10/03/2021,48129,0.0
10/03/2021,30029,36.2
10/03/2021,31087,29.6
10/03/2021,08065,52.3
10/03/2021,48011,0.0
10/03/2021,01023,55.7
10/03/2021,13141,12.2
10/03/2021,49043,73.5
10/03/2021,21039,35.7
10/03/2021,29151,35.6
10/03/2021,26027,37.2
10/03/2021,13073,25.1
10/03/2021,37089,49.6
10/03/2021,37099,45.6
10/03/2021,20205,37.9
10/03/2021,47059,40.5
10/03/2021,31135,34.4
10/03/2021,72111,68.2
10/03/2021,31073,34.2
10/03/2021,08115,45.2
10/03/2021,27019,56.1
10/03/2021,48497,0.0
10/03/2021,28003,33.1
10/03/2021,17067,40.0
10/03/2021,54049,8.9
10/03/2021,19083,49.7
10/03/2021,48279,0.0
10/03/2021,41015,48.9
10/03/2021,45073,40.0
10/03/2021,47071,35.0
10/03/2021,26037,49.4
10/03/2021,08027,42.4
10/03/2021,12077,31.1
10/03/2021,30065,30.3
10/03/2021,40147,36.6
10/03/2021,54053,32.4
10/03/2021,29127,37.6
10/03/2021,39119,42.3
10/03/2021,27121,49.7
10/03/2021,31111,26.6
10/03/2021,56003,30.9
10/03/2021,42131,54.7
10/03/2021,48423,0.0
10/03/2021,46035,41.3
10/03/2021,27149,49.3
10/03/2021,31003,33.4
10/03/2021,37091,28.8
10/03/2021,28015,35.8
10/03/2021,47147,43.8
10/03/2021,20137,46.7
10/03/2021,01017,26.8
10/03/2021,47061,24.2
10/03/2021,37123,35.6
10/03/2021,42025,55.9
10/03/2021,30109,23.9
10/03/2021,48211,0.0
10/03/2021,38041,33.9
10/03/2021,19077,52.8
10/03/2021,30041,50.7
10/03/2021,01125,37.5
10/03/2021,39073,40.9
10/03/2021,40055,31.9
10/03/2021,31163,35.7
10/03/2021,30051,30.2
10/03/2021,22055,43.6
10/03/2021,54005,30.3
10/03/2021,13297,21.6
10/03/2021,47081,35.1
10/03/2021,51680,30.2
10/03/2021,31061,34.2
10/03/2021,17037,44.0
10/03/2021,29011,30.1
10/03/2021,30075,19.0
10/03/2021,72027,67.9
10/03/2021,22099,35.0
10/03/2021,13159,15.1
10/03/2021,39141,44.0
10/03/2021,31109,58.8
10/03/2021,28101,45.0
10/03/2021,49047,33.0
10/03/2021,21025,43.3
10/03/2021,22027,35.9
10/03/2021,47077,35.9
10/03/2021,48459,0.0
10/03/2021,48067,0.0
10/03/2021,04019,57.9
10/03/2021,08035,63.1
10/03/2021,28091,38.5
10/03/2021,48291,0.0
10/03/2021,17041,39.6
10/03/2021,40067,35.7
10/03/2021,51067,39.3
10/03/2021,21035,42.1
10/03/2021,06097,67.2
10/03/2021,55111,55.9
10/03/2021,13215,30.9
10/03/2021,35033,45.0
10/03/2021,05017,48.0
10/03/2021,47099,30.9
10/03/2021,21127,38.7
10/03/2021,30101,38.6
10/03/2021,28125,47.7
10/03/2021,72097,69.2
10/03/2021,38057,33.5
10/03/2021,31121,37.9
10/03/2021,72067,70.9
10/03/2021,47169,31.2
10/03/2021,19169,55.9
10/03/2021,19147,45.4
10/03/2021,39157,38.7
10/03/2021,37109,40.9
10/03/2021,51187,35.1
10/03/2021,56025,36.8
10/03/2021,45051,49.2
10/03/2021,40101,43.0
10/03/2021,04001,71.1
10/03/2021,16063,32.0
10/03/2021,42049,53.0
10/03/2021,46137,24.3
10/03/2021,18041,34.4
10/03/2021,30035,70.1
10/03/2021,35005,34.4
10/03/2021,13049,11.3
10/03/2021,37075,41.8
10/03/2021,29063,25.0
10/03/2021,53013,41.0
10/03/2021,22015,39.6
10/03/2021,26163,46.0
10/03/2021,54083,28.2
10/03/2021,18181,49.1
10/03/2021,72135,60.0
10/03/2021,51045,31.6
10/03/2021,46021,28.5
10/03/2021,48403,0.0
10/03/2021,40071,36.2
10/03/2021,28163,42.1
10/03/2021,21075,49.0
10/03/2021,45015,39.9
10/03/2021,54095,18.4
10/03/2021,26113,41.2
10/03/2021,13055,12.7
10/03/2021,27129,46.8
10/03/2021,29123,33.2
10/03/2021,05015,38.4
10/03/2021,51670,29.4
10/03/2021,18179,37.8
10/03/2021,55007,73.4
10/03/2021,30067,51.0
10/03/2021,12115,62.5
10/03/2021,38051,37.4
10/03/2021,31131,48.8
10/03/2021,28155,42.3
10/03/2021,28045,34.2
10/03/2021,05045,42.5
10/03/2021,37033,43.8
10/03/2021,08091,57.1
10/03/2021,05035,36.2
10/03/2021,12103,57.3
10/03/2021,72053,66.6
10/03/2021,46081,40.6
10/03/2021,40053,36.9
10/03/2021,21211,45.7
10/03/2021,51179,47.7
10/03/2021,72125,67.2
10/03/2021,39151,47.5
10/03/2021,06051,0.0
10/03/2021,39171,39.7
10/03/2021,54035,17.6
10/03/2021,48473,0.0
10/03/2021,27093,40.7
10/03/2021,16011,36.6
10/03/2021,72017,63.0
10/03/2021,48215,0.0
10/03/2021,27109,65.2
10/03/2021,19109,47.2
10/03/2021,51105,43.5
10/03/2021,05091,12.5
10/03/2021,41037,35.3
10/03/2021,72087,46.8
10/03/2021,51540,47.4
10/03/2021,55117,53.9
10/03/2021,08063,33.4
10/03/2021,18169,37.7
10/03/2021,21015,63.2
10/03/2021,20199,33.3
10/03/2021,41057,58.4
10/03/2021,21013,40.8
10/03/2021,27023,44.5
10/03/2021,39097,44.5
10/03/2021,46015,37.5
10/03/2021,31133,38.9
10/03/2021,47139,36.3
10/03/2021,22041,32.2
10/03/2021,31023,45.0
10/03/2021,28027,42.7
10/03/2021,38079,52.7
10/03/2021,26031,45.8
10/03/2021,17099,45.6
10/03/2021,54037,31.3
10/03/2021,41007,58.4
10/03/2021,51015,45.1
10/03/2021,51181,48.5
10/03/2021,13235,13.5
10/03/2021,46119,31.5
10/03/2021,16077,40.6
10/03/2021,13131,17.9
10/03/2021,55099,55.0
10/03/2021,40097,36.8
10/03/2021,12007,36.8
10/03/2021,29197,25.0
10/03/2021,36001,65.7
10/03/2021,38043,28.5
10/03/2021,24009,59.5
10/03/2021,39115,36.4
10/03/2021,39165,55.6
10/03/2021,72137,66.8
10/03/2021,02290,60.5
10/03/2021,02198,47.6
10/03/2021,24031,75.8
10/03/2021,29137,39.4
10/03/2021,35061,46.5
10/03/2021,36115,58.0
10/03/2021,48471,0.0
10/03/2021,21225,35.3
10/03/2021,28129,29.0
10/03/2021,05019,43.3
10/03/2021,25023,60.0
10/03/2021,35011,36.2
10/03/2021,21113,50.3
10/03/2021,33015,58.7
10/03/2021,47179,51.4
10/03/2021,47013,36.8
10/03/2021,19001,43.9
10/03/2021,72054,73.7
10/03/2021,51790,46.1
10/03/2021,13107,27.2
10/03/2021,20149,34.2
10/03/2021,35029,54.6
10/03/2021,16043,35.3
10/03/2021,19023,52.1
10/03/2021,44005,69.5
10/03/2021,48321,0.0
10/03/2021,47097,31.5
10/03/2021,17181,45.6
10/03/2021,48169,0.0
10/03/2021,46069,39.1
10/03/2021,48123,0.0
10/03/2021,35031,99.4
10/03/2021,48229,0.0
10/03/2021,06081,71.7
10/03/2021,46129,31.2
10/03/2021,48263,0.0
10/03/2021,13169,22.2
10/03/2021,37129,53.3
10/03/2021,54067,29.8
10/03/2021,47051,34.4
10/03/2021,48007,0.0
